a000e77f a00fffff 51000003 51000007
b000e760 b0000000 51000003 51000007
e000e79f e00fffff 51000003 51000007
f0000420 f00c4146 51000003 51000007
0000d60c 000855bb 51000003 51000007
1000e20d 100e5b43 51000003 51000007
2000ca0f 200861ab 51000003 51000007
3000e008 30034d4c 51000003 51000007
4000e908 4003955c 51000003 51000007
5000e208 5003da1c 51000003 51000007
6000e780 60000000 51000003 51000007
9000e81f 900fffff 51000003 51000007
a0000410 a0041041 51000003 51000007
b000d607 b00aa7c6 51000003 51000007
c000e800 c0000000 51000003 51000007
e000e83f e00fffff 51000003 51000007
f0000831 f0005146 51000003 51000007
0000d012 0003af5c 51000003 51000007
10001813 1007b01b 51000003 51000007
2000381d 200db4e3 51000003 51000007
30003a29 3007badb 51000003 51000007
4000e119 400e0673 51000003 51000007
50001a29 500e87cb 51000003 51000007
6000e820 60000000 51000003 51000007

